donor_id,name,blood_type,segment,rfm_score,recommendation_score,expected_response_rate,city,email,expected_donation
D05644,Francisco Phillips,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Kolkata,jillwatkins@example.net,0.7
D01810,Morgan Smith,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Chandigarh,jessica41@example.com,0.7
D00698,Jennifer Blackwell,B+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Chandigarh,stephaniepeters@example.com,0.7
D07518,Timothy Smith,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Nagpur,nicole02@example.com,0.7
D01783,James Anderson,B+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Hyderabad,pbrooks@example.com,0.7
D02622,Cynthia Nelson PhD,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Chennai,mcgeeamy@example.com,0.7
D07529,Ashley Price,B+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Mumbai,wandrade@example.com,0.7
D05556,Jonathan Dominguez,B+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Hyderabad,russelljessica@example.com,0.7
D00737,Lisa Vincent,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Ahmedabad,sarah47@example.com,0.7
D04576,Alexandra Raymond,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Ahmedabad,fmurphy@example.net,0.7
D04600,Matthew Le,B+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Ahmedabad,wallaceemily@example.org,0.7
D06773,Crystal Norman,B+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Ahmedabad,mbarron@example.net,0.7
D06259,Richard Nguyen,B+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Chennai,brandonbrown@example.com,0.7
D08219,Dillon Williams MD,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Bangalore,danieljohnson@example.com,0.7
D00994,Adrian Martinez,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Lucknow,pgarcia@example.net,0.7
D03030,Carlos Ramos,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Mumbai,rkrause@example.org,0.7
D06123,Johnny Hunt,B+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Ahmedabad,wharris@example.org,0.7
D06016,Daniel Deleon,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Nagpur,mcdowelljoseph@example.org,0.7
D00898,Kristy Tate,B+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Delhi,yrichardson@example.com,0.7
D03668,Jonathan Smith,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Bangalore,gbell@example.com,0.7
D05417,Mary Dominguez,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Indore,laurafry@example.org,0.7
D04318,Nicole Smith,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Chennai,lburton@example.com,0.7
D02487,Michael Rojas,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Lucknow,lisadavis@example.org,0.7
D06113,Mark Hughes,B+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Nagpur,brownantonio@example.org,0.7
D00557,Drew Wilson,B+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Mumbai,tsmith@example.org,0.7
D05066,Andrea Wise,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Mumbai,vickieyang@example.com,0.7
D01654,Kimberly Grimes,B+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Jaipur,christinabailey@example.com,0.7
D08322,Steve Gonzalez,A+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Chennai,colin08@example.com,0.7
D04801,Shawn Parsons,O+,Loyal,0.8888888888888888,0.8877777777777778,0.7,Jaipur,garycook@example.net,0.7
D05555,Tabitha Wilcox,O-,Loyal,0.8888888888888888,0.8577777777777778,0.7,Chandigarh,lweaver@example.net,0.7
D07732,Nicole Gould,O-,Loyal,0.8888888888888888,0.8577777777777778,0.7,Ahmedabad,christopher22@example.com,0.7
D01956,April French,B-,Loyal,0.8888888888888888,0.8577777777777778,0.7,Bhopal,jamesgutierrez@example.com,0.7
D01133,Jason Ellis,A-,Loyal,0.8888888888888888,0.8577777777777778,0.7,Bangalore,sabrina69@example.org,0.7
D07804,Brian Stephens,O-,Loyal,0.8888888888888888,0.8577777777777778,0.7,Pune,lisa60@example.org,0.7
D00189,Angel Fry,O-,Loyal,0.8888888888888888,0.8577777777777778,0.7,Indore,mluna@example.net,0.7
D00237,Michelle Brock,O-,Loyal,0.8888888888888888,0.8577777777777778,0.7,Indore,mchase@example.org,0.7
D02392,Leslie Gray,O-,Loyal,0.8888888888888888,0.8577777777777778,0.7,Mumbai,xjackson@example.com,0.7
D08098,Zachary Buckley,A-,Loyal,0.8888888888888888,0.8577777777777778,0.7,Kochi,martinlogan@example.net,0.7
D05528,Austin Fischer,A-,Loyal,0.8888888888888888,0.8577777777777778,0.7,Bhopal,cooperxavier@example.com,0.7
D07644,Melissa Zuniga,O-,Loyal,0.8888888888888888,0.8577777777777778,0.7,Pune,wilsonlisa@example.org,0.7
D02704,Dawn Melendez,O+,Loyal,0.7777777777777779,0.8355555555555556,0.7,Chandigarh,mjohnson@example.org,0.7
D05827,Amber Moran,A+,Loyal,0.7777777777777779,0.8355555555555556,0.7,Pune,teresa54@example.com,0.7
D01081,Timothy Maxwell,A+,Loyal,0.7777777777777779,0.8355555555555556,0.7,Kolkata,wheelerkimberly@example.org,0.7
D03560,Jeremy Frederick,O+,Loyal,0.7777777777777779,0.8355555555555556,0.7,Delhi,lutzdevin@example.org,0.7
D00366,Margaret White,O+,Loyal,0.7777777777777779,0.8355555555555556,0.7,Indore,igibbs@example.org,0.7
D07633,Susan Bowman,O+,Loyal,0.7777777777777779,0.8355555555555556,0.7,Hyderabad,casey20@example.org,0.7
D01071,Greg Wright,B+,Loyal,0.7777777777777779,0.8355555555555556,0.7,Kolkata,adrianagray@example.com,0.7
D07588,Anna Jensen,O+,Loyal,0.7777777777777779,0.8355555555555556,0.7,Lucknow,anthony50@example.com,0.7
D05500,Gary Melendez,O+,Loyal,0.7777777777777779,0.8355555555555556,0.7,Delhi,cynthiagonzalez@example.net,0.7
D05828,Amy Snyder,A+,Loyal,0.7777777777777779,0.8355555555555556,0.7,Delhi,mstewart@example.com,0.7
D08000,Veronica Jones,O+,Loyal,0.7777777777777779,0.8355555555555556,0.7,Jaipur,jsmith@example.org,0.7
D09863,Ryan Martinez,A+,Loyal,0.7777777777777779,0.8355555555555556,0.7,Bangalore,rsmith@example.com,0.7
D02715,Jennifer Greene,A+,Loyal,0.7777777777777779,0.8355555555555556,0.7,Chennai,sharonallen@example.org,0.7
D05339,Julie Curry,B+,Loyal,0.7777777777777779,0.8355555555555556,0.7,Nagpur,downsjustin@example.net,0.7
